Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,Wyoming,Big Horn,0,0,0,44.52405055,-107.9960365
2020-03-30 22:52:45,Minnesota,Big Stone,1,0,0,45.42712824,-96.41403739
2020-03-30 22:52:45,North Dakota,Billings,0,0,0,47.02366884,-103.3762965
2020-03-30 22:52:45,Idaho,Bingham,1,0,0,43.21672879999999,-112.3978437
2020-03-30 22:52:45,Iowa,Black Hawk,6,0,0,42.4704581,-92.30524729
2020-03-30 22:52:45,Indiana,Blackford,0,0,0,40.47388153,-85.32499702
2020-03-30 22:52:45,North Carolina,Bladen,0,0,0,34.61296243,-78.56180059
2020-03-30 22:52:45,Idaho,Blaine,130,2,0,43.4085812,-113.9752658
2020-03-30 22:52:45,Montana,Blaine,0,0,0,48.43175214,-108.9582723
2020-03-30 22:52:45,Nebraska,Blaine,0,0,0,41.91311716,-99.97677845
2020-03-30 22:52:45,Oklahoma,Blaine,0,0,0,35.87518314,-98.43307003
2020-03-30 22:52:45,Pennsylvania,Blair,6,0,0,40.47961444,-78.34917412
2020-03-30 22:52:45,Texas,Blanco,1,0,0,30.26640707,-98.3999852
2020-03-30 22:52:45,Virginia,Bland,0,0,0,37.13128068,-81.13599391
2020-03-30 22:52:45,Georgia,Bleckley,0,0,0,32.43829035,-83.33035166
2020-03-30 22:52:45,Tennessee,Bledsoe,2,0,0,35.59942968,-85.20611967
2020-03-30 22:52:45,Alabama,Blount,5,0,0,33.98210918,-86.56790593
2020-03-30 22:52:45,Tennessee,Blount,9,0,0,35.68938198,-83.92847788
2020-03-30 22:52:45,Minnesota,Blue Earth,9,0,0,44.03554215,-94.06699781
2020-03-30 22:52:45,Idaho,Boise,0,0,0,43.98829931,-115.7309284
2020-03-30 22:52:45,Mississippi,Bolivar,11,0,0,33.79696941,-90.87372121
2020-03-30 22:52:45,Missouri,Bollinger,1,0,0,37.32449052,-90.02725304
2020-03-30 22:52:45,South Dakota,Bon Homme,1,0,0,42.98914167,-97.88592746
2020-03-30 22:52:45,Illinois,Bond,1,0,0,38.88829622,-89.43534887
2020-03-30 22:52:45,Idaho,Bonner,1,0,0,48.29996017,-116.6017932
2020-03-30 22:52:45,Idaho,Bonneville,2,0,0,43.38713372,-111.6161537
2020-03-30 22:52:45,Arkansas,Boone,1,0,0,36.3084504,-93.09374925
2020-03-30 22:52:45,Illinois,Boone,0,0,0,42.32359279,-88.82345779
2020-03-30 22:52:45,Indiana,Boone,20,0,0,40.0509304,-86.46841646
2020-03-30 22:52:45,Iowa,Boone,1,0,0,42.03657094,-93.9313999
2020-03-30 22:52:45,Kentucky,Boone,5,0,0,38.97065142,-84.72615357
2020-03-30 22:52:45,Missouri,Boone,59,1,0,38.99186229,-92.30723575
2020-03-30 22:52:45,Nebraska,Boone,0,0,0,41.70759415,-98.06737183
2020-03-30 22:52:45,West Virginia,Boone,0,0,0,38.01974191,-81.69888019
2020-03-30 22:52:45,Texas,Borden,0,0,0,32.74363984,-101.43165090000001
2020-03-30 22:52:45,Texas,Bosque,0,0,0,31.89978581,-97.63613524
2020-03-30 22:52:45,Louisiana,Bossier,57,0,0,32.67932307,-93.60460152
2020-03-30 22:52:45,Virginia,Botetourt,5,0,0,37.55531756,-79.80982182
2020-03-30 22:52:45,North Dakota,Bottineau,0,0,0,48.79106111,-100.8378166
2020-03-30 22:52:45,Colorado,Boulder,90,1,0,40.09313619,-105.3546767
2020-03-30 22:52:45,Idaho,Boundary,0,0,0,48.76684761,-116.4630179
2020-03-30 22:52:45,Kansas,Bourbon,3,0,0,37.85508555,-94.84865997
2020-03-30 22:52:45,Kentucky,Bourbon,2,1,0,38.2054607,-84.21827874
2020-03-30 22:52:45,Texas,Bowie,4,0,0,33.44626922,-94.41834132
2020-03-30 22:52:45,North Dakota,Bowman,0,0,0,46.11285362,-103.5203343
2020-03-30 22:52:45,Nebraska,Box Butte,0,0,0,42.22079243,-103.08788340000001
2020-03-30 22:52:45,Utah,Box Elder,13,0,0,41.52106798,-113.0832816
2020-03-30 22:52:45,Kentucky,Boyd,0,0,0,38.36176608,-82.68652187
2020-03-30 22:52:45,Nebraska,Boyd,0,0,0,42.899727399999996,-98.76486568
2020-03-30 22:52:45,Kentucky,Boyle,1,0,0,37.62680923,-84.8633779
2020-03-30 22:52:45,Kentucky,Bracken,1,0,0,38.69158994,-84.08532444
2020-03-30 22:52:45,Florida,Bradford,2,0,0,29.95079741,-82.16611613
2020-03-30 22:52:45,Pennsylvania,Bradford,3,0,0,41.78869215,-76.51570822
2020-03-30 22:52:45,Arkansas,Bradley,4,0,0,33.46755808,-92.15980837
2020-03-30 22:52:45,Tennessee,Bradley,8,0,0,35.15739424,-84.857186
2020-03-30 22:52:45,Michigan,Branch,0,0,0,41.91600556,-85.05929476
2020-03-30 22:52:45,Georgia,Brantley,0,0,0,31.19576557,-81.97743999
2020-03-30 22:52:45,West Virginia,Braxton,0,0,0,38.70036159,-80.72011184
2020-03-30 22:52:45,Texas,Brazoria,68,1,0,29.18757369,-95.44563172
2020-03-30 22:52:45,Texas,Brazos,46,2,0,30.663644800000004,-96.30205577
2020-03-30 22:52:45,Kentucky,Breathitt,2,0,0,37.52333168,-83.31959161
2020-03-30 22:52:45,Kentucky,Breckinridge,2,0,0,37.77377239,-86.42885017
2020-03-30 22:52:45,Iowa,Bremer,0,0,0,42.77461496,-92.31795937
2020-03-30 22:52:45,Florida,Brevard,31,0,0,28.29409504,-80.73091022
2020-03-30 22:52:45,Texas,Brewster,0,0,0,29.81008251,-103.25203259999999
2020-03-30 22:52:45,Texas,Briscoe,0,0,0,34.53026962,-101.2084947
2020-03-30 22:52:45,Massachusetts,Bristol,263,2,0,41.79228404,-71.10872211
2020-03-30 22:52:45,Rhode Island,Bristol,12,0,0,41.71018079,-71.28652315
2020-03-30 22:52:45,Virginia,Bristol,1,0,0,36.616302399999995,-82.16359122
2020-03-30 22:52:45,Alaska,Bristol Bay,0,0,0,58.74513976,-156.701064
2020-03-30 22:52:45,Montana,Broadwater,3,0,0,46.33277565,-111.49558130000001
2020-03-30 22:52:45,New York,Bronx,0,0,0,40.85209301,-73.86282755
2020-03-30 22:52:45,West Virginia,Brooke,0,0,0,40.27367263,-80.57915332
2020-03-30 22:52:45,South Dakota,Brookings,1,0,0,44.36974375,-96.79079945
2020-03-30 22:52:45,Georgia,Brooks,1,0,0,30.83922642,-83.58303423
2020-03-30 22:52:45,Texas,Brooks,0,0,0,27.03103197,-98.21808402
2020-03-30 22:52:45,New York,Broome,35,3,0,42.15903158,-75.81326086
2020-03-30 22:52:45,Colorado,Broomfield,17,0,0,39.95998787,-105.0566324
2020-03-30 22:52:45,Florida,Broward,1152,11,0,26.15184651,-80.48725556
2020-03-30 22:52:45,Illinois,Brown,0,0,0,39.96209138,-90.75068024
2020-03-30 22:52:45,Indiana,Brown,3,0,0,39.19605589,-86.22868909
2020-03-30 22:52:45,Kansas,Brown,0,0,0,39.82652589,-95.56421698
2020-03-30 22:52:45,Minnesota,Brown,0,0,0,44.24205652,-94.72562874
2020-03-30 22:52:45,Nebraska,Brown,0,0,0,42.43018907,-99.92904055
2020-03-30 22:52:45,Ohio,Brown,1,0,0,38.93416837,-83.86788395
2020-03-30 22:52:45,South Dakota,Brown,3,0,0,45.58994323,-98.35165355
